#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_006464.2	10.55868	10.14041	10.49656	10.68644	10.1512	10.60353	10.5446	10.43336	10.98983	10.58812	10.24013	10.90807
NM_177948.2	6.808407	6.664539	6.763428	6.75023	6.727572	6.782309	6.921529	6.840164	6.741166	6.676132	6.709834	6.824589
NM_032780.2	6.825133	6.935378	6.805263	6.797266	6.802483	6.696872	6.682765	6.568091	6.717769	6.686407	6.593309	6.874746
NM_016521.2	6.639581	6.45877	6.52192	6.561346	6.546257	6.420748	6.57177	6.555578	6.470781	6.42879	6.462144	6.547886
NM_020831.3	7.426443	7.222841	7.471474	7.410041	7.183131	7.395164	7.337826	7.092881	7.257143	7.23415	7.257816	7.728075
NM_016656.2	6.531554	6.411413	6.547886	6.578085	6.432457	6.32905	6.654901	6.436151	6.415212	6.376899	6.556681	6.512796
NM_013241.1	8.436393	7.816643	8.542249	8.232794	7.991841	8.352549	8.695258	8.260338	8.645137	8.314283	7.811943	8.547661
NM_002441.2	6.946823	6.920425	6.96136	6.931325	7.051527	6.892864	6.941876	6.861034	7.015575	6.970517	6.876847	6.808761
NM_002419.3	7.967265	7.813532	7.863834	7.695124	7.90185	7.739358	8.15177	7.727305	7.896497	8.049945	8.014069	8.025148
NM_005060.3	6.444902	6.556681	6.576302	6.371468	6.39907	6.544617	6.513375	6.46101	6.452574	6.481376	6.496061	6.540172
NM_018976.3	10.122749	10.208037	9.957223	10.378752	9.717984	10.052109	10.187744	10.132882	10.063333	10.489076	9.957987	10.042519
NM_147148.1	6.824117	6.729095	6.86597	6.779029	6.712901	6.676915	6.695735	6.84137	6.830562	6.781821	6.756054	6.948471
NM_000830.3	6.599333	6.593765	6.569303	6.614127	6.414862	6.53079	6.673584	6.834134	6.538148	6.760958	6.593309	6.521023
NM_022087.1	8.678772	8.290673	8.931658	8.881017	8.781684	9.119784	8.668216	8.471634	8.624388	8.507763	8.437326	8.850676
NM_006317.3	10.90412	11.98434	12.16952	10.53547	11.92853	12.55685	10.74106	11.80701	11.74318	10.93954	11.89321	12.9419
NM_001008800.1	8.935679	9.422727	9.059997	9.13215	9.287711	9.173251	9.213998	9.534185	8.887689	9.234599	9.393181	8.765121
NM_006795.2	11.94084	12.43765	11.96077	12.38303	12.42243	12.04939	12.00504	12.7615	11.96363	11.92054	12.48427	12.38683
NM_014470.2	6.742672	7.039569	6.854182	6.860546	7.059082	6.539507	6.733389	6.961765	6.890626	6.806075	7.168917	6.698081
NM_003024.2	6.543067	6.641016	6.481158	6.511212	6.534664	6.628963	6.611187	6.580992	6.479168	6.512595	6.403113	6.764259
NM_001020.4	14.25253	14.48859	14.61434	14.57266	14.11246	14.54386	14.52151	14.47595	14.58509	14.56079	14.60087	14.59241
NM_013319.1	8.483435	8.658391	8.444071	8.605397	8.843813	8.43052	8.133011	8.405672	7.812387	8.514853	8.635539	8.169638
NM_153717.1	6.710685	6.644016	6.593355	6.759411	6.707525	6.933901	6.643302	6.794663	6.873711	6.618683	6.808061	6.747789
NM_018294.3	10.82763	10.53664	10.77471	11.04386	10.19896	10.70776	10.53959	10.35431	10.93377	10.70776	10.28349	10.74669
NM_002233.2	6.574235	6.460614	6.417901	6.408628	6.531161	6.399378	6.506779	6.502125	6.385726	6.539702	6.488993	6.515147
NM_206827.1	6.661872	6.753617	6.724121	6.625524	6.714701	6.63428	6.69083	6.55008	6.578085	6.621793	6.678749	6.512796
NM_007151.1	6.741749	6.704345	6.618729	6.667795	6.655135	6.751969	6.723846	6.735045	6.641565	6.519174	6.786001	6.747789
NM_020382.3	7.688574	7.434526	7.669779	7.349179	7.508221	7.49624	7.56845	7.313407	7.450545	8.014902	7.436854	7.539751
NM_001005183.1	6.356397	6.540669	6.53089	6.392927	6.380371	6.618146	6.528258	6.518586	6.594781	6.515835	6.598996	6.450785
NM_020987.2	6.748891	6.610262	6.844473	6.688065	6.684411	6.735564	6.636072	6.72884	6.591724	6.750969	6.715302	6.564769
NM_181093.1	7.298488	7.266891	7.255716	7.354847	7.439063	7.132118	7.277969	7.032519	7.22998	7.036107	7.335691	7.341323
NM_003596.2	7.505151	7.227794	7.677149	7.423911	7.399292	8.729706	7.541764	7.853273	8.1759	7.863834	7.476966	8.790808
NM_001023587.1	8.918377	7.838037	8.072145	8.993482	7.815275	8.269106	8.38675	7.936429	7.945819	8.733712	7.751629	8.381132
NM_000142.2	6.825133	6.843589	7.012754	6.783881	6.794868	6.852381	6.869902	6.779279	6.917764	6.78827	6.860383	6.705887
NM_004881.2	6.834297	6.914492	6.854182	6.950776	6.862646	6.979167	6.84137	6.745753	6.867239	6.881009	6.820577	6.972868
NM_138493.1	9.423397	8.841154	9.457206	8.619355	9.111055	9.078675	8.791709	8.770516	8.773581	8.931853	8.693113	9.078422
NM_006306.2	6.925764	6.879682	6.804082	6.938575	6.938037	6.97712	6.873495	6.792937	6.880136	7.029227	6.933475	7.012754
NM_006240.2	6.646395	6.532285	6.573106	6.514383	6.416469	6.539507	6.511015	6.680672	6.629996	6.555434	6.757748	6.602273
NM_198963.1	6.480053	6.582862	6.558965	6.709529	6.641016	6.543067	6.678103	6.612665	6.507773	6.561778	6.616683	6.655399
XM_499461.2	6.60043	6.544228	6.75592	6.5127	6.486134	6.483328	6.506779	6.658591	6.590224	6.565093	6.58589	6.546257
NM_001031812.1	7.460944	7.329602	7.54154	7.652647	7.6161	7.451864	7.36792	7.476274	7.591887	7.150797	7.296078	7.385634
NM_173355.2	6.53079	6.45877	6.501027	6.539702	6.432457	6.46081	6.57177	6.631212	6.506438	6.649622	6.539115	6.527166
NM_133379.1	6.568091	6.485087	6.52192	6.542969	6.552664	6.532444	6.379072	6.555578	6.543067	6.544854	6.444902	6.624336
NM_004137.2	7.633124	7.591076	7.038965	7.850685	7.77345	7.409671	8.250915	8.615903	7.682416	7.842706	8.302047	8.006061
NM_153361.2	6.461944	6.575259	6.586262	6.495166	6.461415	6.72505	6.51466	6.536306	6.619335	6.496168	6.569209	6.714269
NM_001421.1	9.056107	8.823724	8.813706	8.690098	8.672169	8.620681	9.183102	8.958071	9.464241	9.185031	9.062643	9.340233
NM_020144.3	6.603474	6.588643	6.491283	6.505992	6.35329	6.518102	6.57948	6.509158	6.517708	6.55706	6.556681	6.556681
NM_033360.2	6.554389	6.522204	6.589816	6.583516	6.691442	6.511015	6.682765	6.624965	6.599136	6.563436	6.641016	6.566756
NM_018368.2	10.185151	9.72057	10.01809	10.013911	9.794718	10.2335	10.078259	9.573933	9.986999	9.931775	9.788455	10.252085
NM_005972.3	6.529326	6.565049	6.637344	6.610125	6.437554	6.641565	6.509483	6.541917	6.669809	6.55008	6.464783	6.544324
NM_176792.1	7.956432	7.914075	7.847946	7.840557	7.624156	7.995282	7.298091	7.482674	7.282963	8.115916	7.909369	7.990213
NM_022572.2	7.094254	7.124438	7.281515	7.034088	7.138063	7.274632	7.25152	7.188403	7.27646	7.273731	7.330945	7.228375
NM_004422.2	7.934648	7.998828	7.94912	7.622752	7.992643	7.939309	7.864565	7.933051	7.828033	7.843367	7.713129	7.656475
XM_938230.1	6.902654	6.882551	6.798455	6.956164	6.763174	6.789919	6.882663	6.808801	6.703484	6.912167	7.053305	6.852033
NM_001262.2	6.582433	6.605211	6.773813	6.761463	6.582333	6.79988	6.714112	6.615494	6.62869	6.915445	6.660452	6.672722
NM_207473.1	6.569303	6.527166	6.560973	6.585103	6.656553	6.609821	6.476578	6.555578	6.491376	6.568472	6.556681	6.705887
NM_000418.2	8.894462	8.892583	8.554407	8.833034	8.989998	8.565096	8.779638	9.068427	8.98676	8.819838	8.866691	8.946395
XM_929976.1	6.503712	6.608802	6.47704	6.565049	6.602179	6.604678	6.475209	6.580992	6.558499	6.379666	6.455815	6.454715
NM_001029835.1	9.10342	8.296451	8.741991	9.258209	8.426564	9.078169	8.506228	8.526611	8.66886	8.825975	8.336758	8.570263
NM_001861.2	13.81202	13.66768	13.87964	13.91252	13.9449	13.88837	13.82345	13.76647	13.6871	13.7054	13.61032	13.86967
NM_080616.1	6.667575	6.705801	6.569303	6.686843	6.591949	6.612938	6.68828	6.599419	6.579574	6.781821	6.549856	6.536306
NM_014149.2	7.935293	7.465967	7.477495	7.991612	7.495159	7.676849	7.944923	7.551331	7.904414	7.870005	7.391376	7.616417
NM_001236.3	7.771113	7.707264	8.393924	7.321682	7.682226	7.679967	7.262666	7.507526	7.66777	6.876023	6.931479	7.307277
NM_022361.3	6.511116	6.73223	6.469448	6.376899	6.57741	6.481782	6.691942	6.528775	6.454068	6.590044	6.525999	6.446869
NM_178001.1	6.574235	6.432917	6.600524	6.587908	6.522599	6.501027	6.59069	6.543364	6.591724	6.377889	6.482462	6.598204
NM_003004.1	6.94292	6.834297	6.782626	6.810826	6.813458	6.881154	6.900479	6.72884	6.934377	6.820975	6.846493	6.764259
NM_058229.2	7.593784	7.419752	7.435488	7.659056	7.830024	7.525535	7.51424	7.561433	7.604841	7.467387	7.402419	7.499442
NM_005450.2	7.895933	7.300996	7.769536	8.16051	7.827548	8.118102	7.39447	7.454071	7.448468	7.7572	7.473413	7.848831
NM_014910.2	6.782842	6.865623	6.788988	6.838637	7.005637	6.852381	6.801168	6.866574	6.7986	6.845558	6.893756	6.725294
NM_198309.2	6.816476	6.846083	6.772365	6.973734	6.756167	6.709063	6.908543	6.710685	7.007215	6.807703	6.772703	6.69083
NM_001017981.1	6.612211	6.538738	6.628872	6.712652	6.529417	6.45272	6.623436	6.615494	6.54452	6.6812	6.529518	6.740925
NM_172218.1	6.667575	6.559441	6.5645	6.545476	6.84137	6.814675	6.547976	6.732622	6.597934	6.654249	6.678749	6.661872
NM_024619.2	10.085367	9.808202	9.843058	10.599705	10.131877	10.33334	9.976453	9.954557	9.948294	10.006978	9.720879	10.019555
NM_207405.1	6.782842	6.770503	6.703235	6.833995	6.829105	6.950416	6.820657	6.811941	6.819714	6.8877	6.819641	6.846169
NM_003477.1	7.930359	8.163922	7.935784	8.108765	8.131539	7.94182	7.994509	8.101433	8.051307	7.83712	7.993233	7.661756
NM_206828.2	6.642996	6.56951	6.887441	6.413374	6.617687	6.65348	6.566663	6.711887	6.965598	6.555434	6.615401	6.668313
NM_202001.1	6.743497	6.673099	6.893756	6.636886	6.552664	6.835395	6.754028	6.725129	6.859471	6.825021	6.665593	6.832821
NM_152748.2	6.720986	6.857793	6.897307	7.152841	6.950132	7.110456	6.952815	7.107147	6.9285	6.815277	6.792661	6.779073
NM_021268.1	6.461944	6.483485	6.505001	6.384221	6.537958	6.474614	6.414749	6.502125	6.444758	6.529619	6.529518	6.439638
NM_006391.1	7.081518	6.91593	6.74624	7.187594	7.305605	6.635988	6.826864	6.861034	6.814251	7.155937	6.834065	6.9925
NM_003848.1	9.799408	9.472977	9.561074	9.957223	9.712025	9.820021	9.464877	9.353011	9.298754	9.68639	9.332258	9.173502
XM_929209.1	6.817657	6.623254	6.949221	6.686843	6.595529	6.679889	6.792862	6.662232	6.789878	6.725213	6.705887	7.049136
NM_002865.1	8.384041	8.302047	8.441681	8.352003	8.240272	8.278546	8.442282	8.186705	8.371961	8.620681	8.284396	8.248426
NM_031472.2	6.422117	6.466418	6.435067	6.47016	6.345892	6.458971	6.476578	6.447373	6.462555	6.381763	6.559837	6.439638
NM_012408.3	7.462418	7.355852	7.764199	7.688072	7.446107	7.877241	7.409509	7.334618	7.455744	7.482817	7.272146	7.422403
