#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_004847.2	6.56049	6.623254	6.53089	6.585103	6.444496	6.703753	6.642091	6.506085	6.585937	6.496168	6.61357	6.544324
NM_020213.1	8.229172	8.207329	8.257975	8.027376	8.125548	8.350398	8.181709	8.443643	8.222788	8.36399	8.407975	8.191412
NM_005438.2	6.750926	6.874707	6.63186	6.766883	6.669983	6.713851	6.810432	6.827895	6.745369	6.739409	6.903806	6.770815
NM_174945.1	6.555434	6.493375	6.583231	6.525315	6.554487	6.496944	6.609821	6.568091	6.60043	6.43224	6.553189	6.572669
NM_015914.5	7.6161	7.627369	7.403889	7.721803	7.54246	7.388399	7.563306	7.689141	7.59551	7.817661	7.7572	7.651967
NM_174905.2	7.468289	7.407408	7.57877	7.191173	7.304065	7.472961	7.358754	7.24977	7.439272	7.155937	7.106145	7.631441
NM_003425.2	7.393536	7.20078	7.171046	7.433384	7.378278	7.469935	7.535112	7.510252	7.517741	7.409832	7.284406	7.184979
NM_024057.2	9.846407	9.680072	9.726165	9.899696	9.863243	9.84158	9.673338	9.651514	9.686815	9.709669	9.5246	9.603336
NM_016219.2	9.561376	9.217231	9.651725	9.680663	9.22652	9.674087	9.430886	9.277405	9.580737	9.419333	9.241782	9.81847
NM_000168.2	6.671391	6.766538	6.794909	6.594357	6.661872	6.845558	6.721331	6.778261	6.617687	6.612012	6.692135	6.674295
NM_001512.2	6.555434	6.645821	6.637344	6.669199	6.562876	6.65815	6.525315	6.623968	6.688152	6.555434	6.527766	6.583325
NM_078468.1	9.714765	10.175311	9.720879	9.569341	10.029454	9.460436	9.605274	10.109507	9.332258	9.656071	10.085367	9.31958
NM_020428.2	10.96647	11.12862	11.09271	10.90908	11.08134	11.33209	10.96257	10.95448	11.06033	10.93496	10.89891	11.18489
NM_006768.2	6.625247	6.610262	6.640754	6.558595	6.723846	6.618146	6.673584	6.576723	6.529895	6.661436	6.744846	6.644567
NM_024636.1	6.513575	6.717424	6.475209	6.525315	6.642996	6.541524	6.63932	6.657486	6.587436	6.49418	6.683269	6.637969
NM_006295.1	6.632037	6.536688	6.667624	6.586411	6.679283	6.608252	6.618146	6.541917	6.619335	6.707272	6.698928	6.626979
NM_024960.3	6.428013	6.363559	6.379393	6.402812	6.486134	6.46696	6.491622	6.457234	6.41365	6.435484	6.548073	6.579108
NM_017439.1	7.343423	7.281296	7.345338	7.542883	7.309203	7.494309	7.638474	7.632238	7.742792	7.683319	7.724402	7.601774
NM_001004685.1	6.367498	6.491376	6.591724	6.598111	6.731535	6.551622	6.491622	6.527256	6.656105	6.491673	6.610906	6.608565
NM_001031802.1	6.492576	6.436298	6.567326	6.420376	6.696774	6.498653	6.559837	6.56951	6.457327	6.430571	6.487079	6.454715
NM_203477.1	6.624251	6.617338	6.603659	6.557405	6.73631	6.536306	6.350864	6.457234	6.526884	6.522599	6.551762	6.531161
NM_176889.1	6.725129	6.581356	6.667624	6.721782	6.700566	6.668224	6.637747	6.66489	6.799733	6.642177	6.738242	6.576774
NM_001025204.1	9.569341	9.653422	9.60174	9.332842	9.661396	9.503853	9.607022	9.380174	9.319255	9.768419	9.579623	9.308573
NM_000664.3	7.156417	7.247831	7.124269	7.315515	7.228604	7.114078	7.180567	7.206786	7.331676	7.060546	7.214906	7.113837
NM_173343.1	6.907108	6.648719	6.892045	7.122959	6.944543	6.782309	7.627608	7.111994	7.556255	7.845619	7.174813	7.17656
NM_001686.3	13.11979	13.02844	12.90981	13.14514	13.04327	12.97666	13.26158	13.07565	13.10878	12.97014	13.09288	12.98392
NM_006588.2	6.554389	6.661827	6.7118	6.7118	6.580992	6.602912	6.659746	6.631212	6.619335	6.663167	6.572243	6.931109
NM_002760.2	6.527766	6.47653	6.533005	6.542969	6.527865	6.323047	6.537672	6.520362	6.522395	6.50737	6.623068	6.635942
NM_022091.3	6.725129	6.614759	6.558965	6.622974	6.874707	6.496944	6.649888	6.787065	6.627071	6.610262	6.680249	6.734293
NM_001001915.1	6.546822	6.570827	6.667624	6.542969	6.57017	6.472184	6.460504	6.46101	6.439318	6.43224	6.545032	6.554389
NM_000033.2	6.825133	6.633195	6.73631	6.80758	6.637344	6.761258	6.80924	6.822696	7.110194	6.86597	6.988613	7.391898
NM_017460.3	6.698081	6.775281	6.657081	6.648447	6.62869	6.618146	6.640656	6.69223	6.566303	6.60834	6.529518	6.511015
NM_032251.3	7.457488	7.418196	7.46168	7.255653	7.343333	7.419437	7.556349	7.694587	7.489465	7.489465	7.471685	7.229919
NM_005208.3	6.613385	6.522204	6.520362	6.491283	6.428338	6.512748	6.406488	6.536306	6.394732	6.502429	6.448829	6.433283
NM_005676.3	6.508767	6.45877	6.628872	6.552097	6.459134	6.481782	6.486686	6.573846	6.585937	6.578216	6.58589	6.65326
NM_033554.2	12.36443	11.89612	12.03466	12.46774	12.06209	11.75733	13.09288	12.55685	12.63735	12.5834	12.47188	12.04295
NM_015242.2	8.009506	7.751067	8.126811	7.767404	7.70304	7.831088	8.145029	8.054007	8.361102	8.173265	8.049326	8.321788
NM_012471.1	6.716741	6.641016	6.732622	6.736183	6.641016	6.655218	6.746587	6.710685	6.814251	6.816943	6.690653	6.525217
NM_020889.2	6.505992	6.448463	6.499245	6.593309	6.464783	6.559837	6.587528	6.509158	6.673584	6.381763	6.496061	6.450785
NM_012201.4	11.22596	10.82645	10.97737	11.38015	10.9144	11.2555	11.06946	11.05756	11.31951	11.22596	10.8974	11.24468
NM_033394.1	6.952998	7.054163	7.008059	6.960464	7.036284	6.947677	6.923876	6.87303	6.881082	6.89322	6.916144	6.799131
NM_152398.2	10.253091	10.54396	10.672598	9.909956	10.150596	10.577971	9.928696	9.945133	9.275648	10.065505	10.184229	9.829008
NM_001276.1	6.562972	6.608802	6.542493	6.489784	6.544617	6.602912	6.505054	6.400019	6.582958	6.439318	6.529518	6.700185
NM_006441.1	8.394858	8.835131	8.929643	8.727963	9.042581	9.199558	8.659594	8.569016	8.829737	8.784177	8.686375	9.521272
NM_021570.2	6.692728	6.581356	6.538148	6.594357	6.684411	6.703753	6.699719	6.601121	6.659494	6.538148	6.483784	6.708023
NM_025154.2	9.090381	8.894038	8.994042	9.224075	9.297409	9.097702	8.762426	8.908688	8.795746	8.789569	8.747371	8.786594
NM_006309.1	8.224214	8.372285	8.170658	8.441514	8.581054	8.196682	8.349354	8.641937	8.386352	8.342051	8.810567	8.492541
NM_006762.1	12.16628	11.82985	12.1071	12.68127	12.31009	12.39355	12.62819	12.32094	12.46297	12.60588	12.17147	12.44683
NM_000284.1	9.16544	9.38746	9.251301	9.119784	9.330176	9.010392	9.185206	9.407486	9.066933	9.241782	9.274649	8.946395
NM_199002.1	8.815381	8.767551	8.737783	8.297676	8.648318	8.695567	8.771883	8.779806	8.77401	8.696623	8.499228	8.668356
NM_178495.4	6.648905	6.559441	6.512298	6.50994	6.547886	6.45272	6.59069	6.618146	6.610171	6.77676	6.519849	6.632037
NM_003264.3	7.13159	7.501832	7.127247	7.245962	7.264775	7.048935	7.626302	7.78776	7.36021	7.567947	7.964456	7.367171
NM_032829.1	6.556862	6.520453	6.591724	6.596826	6.593765	6.679889	6.627502	6.614127	6.699539	6.651306	6.564688	6.621702
NM_003883.2	9.238916	8.955653	9.186691	9.158284	8.842247	9.235094	9.346675	8.883335	9.190904	9.118279	8.84602	9.215695
NM_012443.2	6.47016	6.55066	6.533005	6.575356	6.473304	6.606506	6.575448	6.298319	6.497653	6.486544	6.492778	6.554389
NM_001025.4	11.17742	11.186573	10.98055	10.964736	10.539591	10.352611	10.124662	10.245109	10.0409	9.572527	9.590448	9.55109
NM_005490.1	6.801128	6.7677	6.676738	6.736183	6.786252	6.705604	6.661436	6.616967	6.81294	6.769259	6.733873	6.680672
NM_198857.1	6.610732	6.520453	6.450881	6.601727	6.57741	6.583231	6.598204	6.52417	6.631212	6.663167	6.63428	6.554389
NM_006874.2	7.336003	6.996811	6.97152	7.138063	7.012285	6.983178	7.124568	7.250823	7.078048	7.075448	7.063526	6.950132
NM_014884.1	8.521432	8.51585	8.678503	8.350398	8.667059	8.802485	8.825975	8.687773	8.721452	8.668608	8.626319	8.844699
NM_004713.2	7.925142	7.760586	7.685875	7.928667	7.946268	7.829527	7.661282	7.920588	7.943269	7.710123	7.860866	7.789244
NM_007100.2	8.702345	8.604411	8.772823	7.602526	8.550941	8.537182	8.637803	8.379864	8.256178	8.562123	8.521831	8.480501
NM_207313.1	6.543067	6.61605	6.553814	6.538335	6.558018	6.498653	6.516329	6.564858	6.570723	6.552097	6.483784	6.521023
NM_015440.3	7.604989	7.879664	7.684653	7.588454	7.930088	7.58908	7.699153	7.841392	7.543582	7.517061	7.843309	7.665163
NM_003409.2	9.473863	9.168651	9.393614	9.382524	9.097702	9.43505	9.15937	9.030524	9.155273	9.205419	8.950453	9.113092
NM_053278.1	6.540562	6.527166	6.699975	6.734091	6.564858	6.561443	6.710513	6.58986	6.713935	6.563436	6.773615	6.521023
NM_021934.3	8.852109	9.133706	9.090381	8.675516	9.207443	8.831991	8.946191	9.000163	8.905671	9.029594	9.262069	8.967823
NM_002980.1	6.492576	6.678574	6.591724	6.693208	6.73631	6.65348	6.563605	6.649449	6.612836	6.833678	6.744846	6.540172
XM_370629.2	6.630041	6.680249	6.805263	6.700566	6.582333	6.628963	6.658691	6.596826	6.733005	6.613986	6.665593	6.529276
NM_058189.1	6.636206	6.5985	6.763428	6.746587	6.626802	6.532444	6.536306	6.773103	6.62869	6.593494	6.697562	6.760061
NM_207355.2	6.632037	6.606819	6.655399	6.561346	6.67473	6.526786	6.565137	6.555578	6.67113	6.663167	6.680249	6.506779
NM_006653.3	7.834052	7.843252	7.689927	8.034758	7.550769	7.630234	7.87129	7.836555	7.828669	7.747587	7.716824	7.807936
NM_012098.2	6.623068	6.501921	6.784235	6.603191	6.771223	6.428895	6.604217	6.666296	6.682235	6.693165	6.683269	6.747789
NM_207040.1	6.380046	6.690396	6.747986	6.5127	6.562876	6.444902	6.401303	6.551717	6.457327	6.497653	6.439638	6.583325
NM_014392.2	8.491808	7.922835	7.899285	8.486077	7.86072	7.947384	7.950595	7.835722	7.829668	7.906503	7.533566	7.87178
NM_000502.2	6.866914	6.83329	6.734457	6.707272	6.6684	6.823796	6.921529	6.669274	6.660632	6.700994	6.681621	6.760061
NM_153265.1	12.23028	12.21837	11.85496	12.34265	12.13576	12.19863	11.8497	12.14364	12.08698	12.1174	11.98011	12.12061
NM_018238.2	8.389441	8.948375	8.559567	8.37681	8.612842	8.573999	8.241326	8.566174	8.693452	8.242141	8.658852	8.723958
NM_014515.3	9.902901	9.662903	9.739021	10.082197	9.953762	9.844265	9.736383	9.788455	9.578125	9.660023	9.806708	9.57132
NM_024933.2	6.699719	6.698596	6.625247	6.643884	6.754276	6.549998	6.695735	6.704681	6.800884	6.693165	6.605132	6.626979
NM_002563.2	6.54452	6.556681	6.586262	6.730257	6.642996	6.507179	6.554878	6.483164	6.531554	6.555434	6.437815	6.566756
NM_021803.1	6.570676	6.55066	6.555631	6.760266	6.714701	6.543067	6.63348	6.647829	6.610171	6.653089	6.624526	6.693413
NM_013316.2	8.562123	8.56933	8.577087	8.487476	8.567956	8.606326	8.532278	8.561939	8.610378	8.512866	8.540337	8.40133
NM_033086.1	12.66848	12.33626	12.38894	12.82946	12.35163	12.51613	12.41155	12.27366	12.42506	12.48955	12.15078	12.37983
NM_033220.1	6.588271	6.712737	6.613947	6.603191	6.748726	6.681287	6.64862	6.58388	6.56316	6.593494	6.731279	6.768746
NM_001031707.1	7.587273	7.460541	7.593176	7.441033	7.884796	7.512037	7.629223	7.556943	7.582058	7.521746	7.767404	7.805557
NM_153379.1	6.538148	6.565049	6.457327	6.635735	6.593765	6.509059	6.562201	6.588643	6.682235	6.519174	6.562972	6.862155
NM_032102.1	9.54285	9.256912	9.587803	9.721188	9.484767	9.655736	9.485219	9.412079	9.324486	9.275455	9.298984	9.334797
NM_194457.1	7.196055	7.075852	7.258508	7.015575	7.223018	6.948999	6.979297	7.077344	7.005947	7.03727	6.966541	6.948471
NM_014753.2	9.421281	9.652744	9.20727	9.363775	9.573933	9.294825	9.286997	9.651936	9.275648	9.520784	9.701755	9.277405
NM_007266.1	9.468706	9.264654	9.287711	9.231768	9.542081	9.253509	8.965669	9.242735	9.122256	9.02753	9.261185	9.256509
NM_016071.2	7.754478	7.859181	7.852123	7.783966	8.102787	7.797767	7.579515	7.794456	7.717408	7.546211	7.791635	7.719076
NM_006794.1	6.576774	6.505894	6.541335	6.732622	6.6684	6.570452	6.628872	6.561346	6.558499	6.55008	6.506977	6.702036
NM_005326.3	10.069982	9.697489	10.376842	10.287679	9.896362	10.45451	10.121035	9.990141	10.292925	10.286864	10.040042	10.449282
NM_001025447.1	6.695911	6.690396	6.621793	6.722806	6.57741	6.739005	6.730173	6.639497	6.767171	6.651306	6.677185	6.59599
NM_005482.1	7.497399	7.449187	7.433094	7.885253	7.821395	7.777414	7.584607	7.427091	7.529739	7.344047	7.37774	7.489341
NM_012314.2	6.660632	6.655218	6.625247	6.682421	6.774978	6.579307	7.012656	6.785922	6.731818	6.80296	6.795023	6.56874
NM_080677.1	7.781917	7.7891	8.175245	7.504387	8.008067	7.749799	7.712843	7.60927	7.868628	7.83024	7.686819	7.924804
NM_000342.1	6.568091	6.648719	6.524063	6.593309	6.739667	6.59923	6.483164	6.768933	6.564688	6.672965	6.702623	6.534664
NM_016231.2	7.680354	8.013769	8.065339	7.682833	7.505619	7.976806	7.837849	8.040731	7.709272	7.98616	7.98528	7.698449
NM_153497.2	6.651137	6.536688	6.598779	6.657626	6.554487	6.551622	6.752472	6.714866	6.63428	6.517708	6.638316	6.640263
NM_032642.2	6.686661	6.980177	6.864933	6.652773	7.088461	6.718525	6.68953	7.059082	6.952222	6.704345	6.740004	6.854574
NM_022896.1	6.642996	6.700141	6.798455	6.667795	6.679283	6.726135	6.772934	6.639497	6.67113	6.699539	6.71734	6.867354
NM_180699.1	8.259213	8.500145	8.651598	8.148351	8.182273	8.439858	8.37825	8.434606	8.228873	8.55552	8.470349	8.430705
NM_001001693.1	6.481423	6.534843	6.562719	6.392927	6.47642	6.474614	6.478234	6.414424	6.479168	6.49933	6.405449	6.626979
NM_018660.2	9.238266	8.998125	9.139381	9.049595	9.109361	9.116467	9.058032	8.806909	8.847342	8.823724	8.822679	8.977804
NM_030904.1	6.714615	6.614759	6.732622	6.682421	6.700566	6.674907	6.674907	6.870638	6.723846	6.708812	6.731279	6.77302
NM_020665.2	6.760103	6.633195	6.709834	6.67434	6.649972	6.559837	6.653699	6.592824	6.60043	6.591724	6.641016	6.572669
NM_001012989.1	6.442424	6.507566	6.494282	6.566384	6.562876	6.491283	6.601455	6.592824	6.484189	6.514277	6.502429	6.496645
NM_001685.4	11.71305	11.40876	11.58462	10.80638	11.71018	11.36905	11.38433	11.19065	11.04386	11.1264	11.18797	11.25125
NM_198279.1	6.900255	6.841068	6.819869	6.945249	6.566709	6.948999	6.988832	6.893084	6.810869	6.842846	6.884912	6.705887
NM_014574.2	9.087697	9.278925	8.992017	8.77428	9.278437	9.170436	8.758177	9.013835	9.192023	8.882755	9.091639	9.063557
NM_018414.2	6.526594	6.852033	6.714701	6.75023	6.666741	6.693582	6.61357	6.678233	6.482782	6.53448	6.668782	6.560876
NM_032514.2	6.677804	6.69714	6.794909	6.538335	6.794868	6.681287	6.483164	6.794663	6.526884	6.618683	6.567702	6.68485
NM_005623.2	11.503469	12.904193	10.874962	10.789644	12.923304	10.441267	9.367086	9.998208	10.973804	10.838878	13.346993	9.838101
NM_152547.2	6.627502	6.645821	6.615494	6.772703	6.593765	6.646307	6.526884	6.494468	6.558499	6.568472	6.548073	6.608565
NM_013333.2	10.58888	10.14405	10.31479	10.683	10.35377	10.5763	10.84128	10.53959	10.85296	10.86085	10.24293	10.8974
NM_019015.1	7.629791	7.579949	7.714107	7.780976	7.684653	7.761995	7.860866	7.897846	7.902496	8.002457	7.808845	7.932013
NM_001442.1	8.141667	7.705941	6.583231	7.071319	7.102714	6.619869	7.309484	7.11492	6.69118	7.102006	7.138063	6.881388
XM_941093.1	6.604309	6.76434	6.600524	6.69714	6.900255	6.679889	6.673584	6.723846	6.736885	6.566756	6.692135	6.496645
NM_024040.1	9.325356	8.96624	9.320031	9.122696	9.15978	9.218212	9.319417	8.858135	9.086159	9.201252	9.010081	9.341945
NM_172208.1	7.110456	7.092818	6.9124	6.9326	6.996529	6.868023	7.021913	7.066435	7.022127	6.981613	7.051787	7.168366
NM_015595.2	6.687935	6.725129	6.798455	6.616781	6.511411	6.732317	6.801168	6.703666	6.726135	6.657626	6.820577	6.796951
NM_032777.6	6.53079	6.545476	6.727731	6.672965	6.765483	6.696872	6.419536	6.66489	6.693892	6.613986	6.708639	6.602273
NM_152591.1	6.668313	6.507566	6.727731	6.603191	6.679283	6.577594	6.739282	6.646395	6.741166	6.618683	6.659044	6.624336
NM_018030.3	7.329575	7.075128	6.87743	7.364909	7.073046	7.057543	7.359841	6.801128	7.161541	7.659243	7.047424	7.19534
NM_017632.1	8.637501	8.755892	8.423928	8.74283	8.727963	8.595264	8.461693	8.550742	8.315796	8.674745	8.718938	8.385928
NM_006214.2	8.950453	8.378434	8.303482	8.945757	8.285808	8.332601	8.986493	8.580517	8.37367	8.882755	8.232695	8.305931
NM_000090.2	6.54452	6.367554	6.566111	6.489784	6.632209	6.709063	6.465177	6.515348	6.430571	6.522599	6.580338	6.610821
NM_004152.2	14.77328	14.37601	14.48859	14.60735	14.40826	14.51295	14.62226	14.61434	14.77328	14.56868	14.3621	14.53845
NM_000500.5	6.744676	6.639497	6.761778	6.637969	6.542588	6.539507	6.569303	6.650953	6.647379	6.532818	6.570723	6.736652
NM_001024682.1	6.546822	6.534843	6.547886	6.450632	6.492778	6.715111	6.399378	6.606868	6.467783	6.47189	6.630232	6.544324
NM_001703.1	6.474718	6.326633	6.586262	6.482978	6.38264	6.487383	6.430135	6.403205	6.412109	6.397575	6.531078	6.415588
XM_929409.1	6.474718	6.4082	6.473411	6.42389	6.473304	6.454974	6.399378	6.405016	6.452574	6.486544	6.618146	6.424459
NM_000614.2	6.458971	6.450182	6.600524	6.474614	6.579307	6.573846	6.546437	6.548073	6.560108	6.528258	6.631577	6.383918
NM_000830.3	6.610732	6.633195	6.566111	6.684499	6.397362	6.512748	6.777733	6.615494	6.581451	6.819641	6.632913	6.525217
NM_017745.4	8.777189	8.831773	8.576007	8.677172	9.065639	8.468795	8.945523	9.069445	8.556962	8.443857	8.476224	8.272217
NM_001761.1	7.114583	7.270136	7.334691	7.147922	7.053941	7.430403	7.014057	7.155806	7.327027	7.478704	6.994586	7.504387
NM_001776.3	7.459645	7.222841	7.647121	7.674583	7.477495	7.657356	7.746913	7.546837	7.574919	7.632238	7.529445	7.971762
NM_145235.2	6.668974	6.707186	6.589816	6.683538	6.908543	6.739005	6.718942	6.867456	6.736885	6.65598	6.615401	6.574799
NM_147199.2	6.54452	6.434543	6.439688	6.406079	6.604073	6.470571	6.446816	6.515348	6.517708	6.591724	6.642723	6.566756
NM_152771.1	6.47704	6.582862	6.562719	6.505992	6.681112	6.494666	6.536306	6.604124	6.607436	6.710599	6.763594	6.640263
NM_014711.3	8.868659	8.786594	9.025101	9.016759	8.663923	8.858572	8.75614	8.619555	8.577687	8.793091	8.707433	8.551194
NM_020377.2	6.749986	6.659308	6.620331	6.669199	6.878979	6.761258	6.721331	6.688562	6.603285	6.558595	6.635735	6.770815
NM_000794.2	6.574235	6.489884	6.487944	6.565049	6.579307	6.588271	6.670158	6.598204	6.579574	6.731535	6.549856	6.504809
NM_001933.3	8.173457	8.048629	8.31335	8.431782	8.556031	8.399281	8.194814	8.011132	7.980283	8.389441	8.13364	8.453559
NM_005283.2	6.64756	6.47138	6.562719	6.520362	6.605981	6.65348	6.63239	6.503354	6.543067	6.483078	6.603474	6.574799
NM_133492.1	6.731364	6.614759	6.613947	6.730257	6.566709	6.643257	6.696872	6.689704	6.716401	6.7285	6.674643	6.817185
NM_021188.1	8.428302	8.564287	8.489863	8.731543	8.591209	8.549729	8.529105	8.371069	8.428743	8.304511	8.538956	8.221619
NM_002976.1	6.713764	6.742672	6.685583	6.652773	6.57017	6.748891	6.636072	6.767125	6.653346	6.610262	6.606596	6.65967
NM_001005197.1	6.501027	6.552193	6.47704	6.476033	6.575356	6.619869	6.447747	6.536306	6.742672	6.529619	6.485603	6.602273
NM_057160.1	6.660632	6.641016	6.598779	6.631577	6.595529	6.465073	6.631212	6.628589	6.569107	6.514277	6.529518	6.496645
NM_153757.1	6.770111	6.846083	6.964966	6.862608	6.988436	6.794141	6.77676	6.754276	6.911879	6.784776	6.72955	6.877191
NM_002034.2	6.616874	6.606819	6.727731	6.742889	6.866875	6.691853	6.490248	6.631212	6.778054	6.601548	6.678749	6.59599
NM_170605.2	6.532912	6.605211	6.524063	6.658691	6.67158	6.537958	6.536306	6.502125	6.582958	6.548073	6.426822	6.714269
NM_032747.1	7.177127	7.323191	7.150575	7.854542	8.633805	8.058543	8.795055	9.122935	8.391123	6.998958	7.428708	6.824589
NM_001008740.2	6.625247	6.698596	6.644612	6.502721	6.546257	6.619869	6.47021	6.595529	6.555145	6.392191	6.561346	6.371468
NM_024110.2	6.582433	6.483485	6.53089	6.44077	6.609627	6.41365	6.565137	6.571025	6.480921	6.548073	6.60043	6.426822
NM_000246.2	7.315483	7.151057	6.98847	7.189699	6.855097	7.0229	7.540972	7.022501	7.379349	7.403889	7.060546	7.119086
NM_016055.4	8.166491	8.123129	8.32232	7.978351	8.209216	8.327425	8.240385	8.007099	7.953725	8.298766	8.045955	8.08466
NM_199242.1	7.281683	7.18262	7.457625	7.133673	7.013641	7.488583	7.197187	7.13235	7.613471	7.387421	7.166874	7.689303
NM_006227.2	7.51913	7.537503	6.87213	7.250124	7.358458	6.761258	7.356692	7.716464	6.835738	7.436427	7.59922	7.049136
NM_002905.2	8.139179	7.914757	7.986789	7.49035	7.37191	7.636944	7.631336	7.513291	7.584211	7.7432	7.714657	7.780976
NM_014117.2	9.126958	8.91125	9.181908	8.923003	8.826662	8.926886	8.615256	8.533357	8.74283	8.613339	8.468413	8.659594
NM_015296.1	7.773605	7.678224	7.653396	8.151381	7.996753	8.025594	7.35008	7.581896	7.20939	7.797352	7.750929	7.642665
NM_153186.3	7.052154	8.768582	6.9124	7.273078	8.644083	6.773813	7.733589	9.313048	7.067512	7.863834	9.323821	7.565856
NM_003108.3	6.543067	6.422637	6.527256	6.67434	6.641016	6.480207	6.491622	6.582684	6.594781	6.47189	6.605132	6.499152
NM_005418.3	6.6812	6.593765	6.487944	6.713499	6.57017	6.727487	6.488383	6.500543	6.509441	6.579802	6.511411	6.714269
NM_206854.1	7.448468	7.198144	7.096308	7.692241	7.504568	7.384827	7.626302	7.242506	7.443285	7.683319	7.408087	7.604035
NM_006327.2	8.443643	9.036018	8.517589	8.82757	9.028648	8.487772	8.681557	9.083078	8.535909	8.801642	9.051797	8.516739
NM_145314.1	6.610732	6.460614	6.635644	6.580898	6.623153	6.468633	6.734333	6.693582	6.459082	6.734626	6.584638	6.635942
NM_003363.2	7.059012	6.924046	6.940969	7.154821	6.999507	7.045823	7.018323	7.134825	7.206195	6.922926	6.937302	7.140787
NM_054031.2	6.94078	6.857793	6.732622	6.723846	6.9124	6.751969	6.775281	6.846606	6.729095	6.773225	6.723939	6.852033
NM_021183.3	8.823242	9.352435	9.031259	8.992017	9.121542	8.900801	8.865155	9.347371	8.685271	8.76486	9.221083	8.676679
NM_005560.3	7.429149	7.402821	7.219026	7.187594	7.029952	7.016261	7.579515	7.690622	7.640939	7.690927	7.907049	7.698449
NM_003909.2	9.391382	9.265147	9.365719	9.657813	9.418742	9.389177	9.337371	9.10222	9.290498	9.113092	9.184454	9.236417
NM_005835.1	6.581181	6.630232	6.53089	6.502721	6.677804	6.577594	6.618146	6.587156	6.610171	6.635735	6.651306	6.541917
NM_003075.2	8.195294	8.104118	8.019272	8.06662	7.783383	8.029806	8.159432	8.162999	8.387978	8.066839	7.955168	8.049945
NM_000413.1	6.607436	6.579574	6.538148	6.702623	6.518686	6.548073	6.63348	6.73631	6.7986	6.639282	6.609401	6.604309
NM_173514.1	8.101027	8.006359	7.873245	8.273721	8.224406	7.956171	8.227152	8.238111	8.128071	8.345288	8.479828	8.08466
NM_021971.1	7.670876	7.902496	7.665659	7.904963	7.916166	7.841043	7.903713	8.061554	7.92183	8.044238	8.029234	7.646496
NM_004921.1	6.444902	6.56951	6.447179	6.49418	6.711026	6.516329	6.666206	6.528775	6.553681	6.526594	6.609401	6.564769
NM_001031731.1	6.932711	6.822806	6.860995	6.996263	6.676058	6.943857	7.047098	6.823796	7.185878	7.300973	6.994586	7.127987
NM_173670.2	6.654052	6.536688	6.639053	6.576774	6.609627	6.580992	6.621793	6.601121	6.622058	6.645042	6.635735	6.642351
NM_031420.2	8.200299	8.449798	8.214149	8.208042	8.493502	8.206927	8.300823	8.359791	8.106365	8.073113	8.165075	7.914568
NM_207422.1	6.539507	6.553681	6.584738	6.684499	6.704225	6.69022	6.73661	6.566663	6.683626	6.693165	6.63428	6.494282
NM_012328.1	8.855993	9.098087	8.607922	9.369414	9.155868	8.620681	9.342396	9.514464	8.992017	9.102407	9.489546	8.713149
NM_176795.2	7.78274	7.925215	8.048059	7.723893	7.746809	7.914916	7.821962	7.955999	8.05196	7.72274	7.605225	8.016506
XM_939834.1	6.690051	6.678574	6.596826	6.524063	6.590496	6.65348	6.556483	6.593986	6.772773	6.522599	6.608157	6.374277
NM_006452.2	8.911859	10.178179	9.256006	9.007861	10.271576	8.957819	8.892852	9.648061	8.65374	8.756972	9.787846	8.961339
NM_004739.2	8.641249	8.611038	8.538032	7.87561	8.766041	8.646538	8.589082	8.394316	8.563289	8.637803	8.660739	8.78584
NM_023933.1	8.660121	8.297676	8.559942	8.122153	8.404176	8.395748	8.528165	8.588773	8.377714	8.798371	8.50419	8.456647
NM_015927.3	6.569303	6.593765	6.67508	6.586411	6.707525	6.604678	6.624878	6.580992	6.693892	6.532818	6.664264	6.544324
NM_001012427.1	6.954295	6.935378	6.793053	6.963036	6.845188	6.730335	6.83329	7.075852	6.853021	6.917257	6.865658	6.881388
NM_205853.1	6.853021	6.954295	6.945106	6.886077	6.89268	6.904985	6.806075	6.891797	6.80296	6.825021	7.051787	6.757671
NM_001378.1	9.35047	9.150606	9.158211	9.421795	9.372768	9.106872	9.226129	9.410639	9.287558	9.392107	9.529499	9.459165
NM_153040.1	6.80296	6.585844	6.512298	6.605211	6.609627	6.556681	6.410838	6.543364	6.509441	6.544854	6.59738	6.554389
NM_001694.2	9.173	8.690949	9.314783	8.517751	8.74283	9.296581	9.162652	8.735502	9.525438	9.526	8.786129	9.661947
NM_012192.2	7.703218	7.726782	7.656108	7.602526	7.756398	7.714571	7.589211	7.683935	7.936341	7.644629	7.73366	8.200111
NM_152359.1	6.670026	6.55066	6.646395	6.600618	6.76138	6.705604	6.533889	6.755843	6.639947	6.515835	6.598996	6.499152
NM_005347.2	9.360552	8.766041	8.723958	9.514464	8.972138	8.633631	9.291055	8.99472	9.038085	9.495391	9.031995	9.091639
NM_005089.1	9.752044	9.632623	9.758072	9.720071	9.566419	9.878635	9.792271	9.781318	10.040042	9.607462	9.733179	9.761656
NM_019100.3	9.676497	9.698978	9.969364	9.596941	9.604713	9.649606	9.641616	9.606583	9.800783	9.5503	9.47017	9.854597
